trajectory,time,lon,lat
0,2025-12-29 04:11:00,133.0369,32.9545
0,2025-12-29 04:21:00,133.0368,32.95444
0,2025-12-29 04:31:00,133.03673,32.954388
0,2025-12-29 04:41:00,133.03664,32.95434
0,2025-12-29 04:51:00,133.03656,32.954296
0,2025-12-29 05:01:00,133.0365,32.95425
0,2025-12-29 05:11:00,133.03644,32.954212
0,2025-12-29 05:21:00,133.03638,32.954174
0,2025-12-29 05:31:00,133.03632,32.954132
0,2025-12-29 05:41:00,133.03625,32.95409
0,2025-12-29 05:51:00,133.03621,32.95405
0,2025-12-29 06:01:00,133.03616,32.954006
0,2025-12-29 06:11:00,133.03612,32.953964
0,2025-12-29 06:21:00,133.03606,32.95392
0,2025-12-29 06:31:00,133.03601,32.953876
0,2025-12-29 06:41:00,133.03595,32.95383
0,2025-12-29 06:51:00,133.03589,32.95379
0,2025-12-29 07:01:00,133.03583,32.953743
0,2025-12-29 07:11:00,133.03575,32.9537
0,2025-12-29 07:21:00,133.03568,32.953655
0,2025-12-29 07:31:00,133.0356,32.953606
0,2025-12-29 07:41:00,133.03552,32.953556
0,2025-12-29 07:51:00,133.03543,32.953506
0,2025-12-29 08:01:00,133.03535,32.953453
0,2025-12-29 08:11:00,133.03526,32.953396
0,2025-12-29 08:21:00,133.03517,32.953335
0,2025-12-29 08:31:00,133.03508,32.953274
0,2025-12-29 08:41:00,133.03499,32.95321
0,2025-12-29 08:51:00,133.0349,32.95314
0,2025-12-29 09:01:00,133.0348,32.953068
0,2025-12-29 09:11:00,133.03473,32.95299
0,2025-12-29 09:21:00,133.03464,32.952908
0,2025-12-29 09:31:00,133.03455,32.95282
0,2025-12-29 09:41:00,133.03445,32.95272
0,2025-12-29 09:51:00,133.03436,32.952618
0,2025-12-29 10:01:00,133.03427,32.952507
0,2025-12-29 10:11:00,133.03418,32.952393
0,2025-12-29 10:21:00,133.03409,32.95227
0,2025-12-29 10:31:00,133.03398,32.952137
0,2025-12-29 10:41:00,133.03387,32.952
0,2025-12-29 10:51:00,133.03377,32.95186
0,2025-12-29 11:01:00,133.03366,32.951706
0,2025-12-29 11:11:00,133.03355,32.951546
0,2025-12-29 11:21:00,133.03343,32.951385
0,2025-12-29 11:31:00,133.03331,32.951214
0,2025-12-29 11:41:00,133.03319,32.95104
0,2025-12-29 11:51:00,133.03307,32.95086
0,2025-12-29 12:01:00,133.03293,32.950672
0,2025-12-29 12:11:00,133.03279,32.95048
0,2025-12-29 12:21:00,133.03265,32.950287
0,2025-12-29 12:31:00,133.03252,32.95009
0,2025-12-29 12:41:00,133.03238,32.949883
0,2025-12-29 12:51:00,133.03223,32.949677
0,2025-12-29 13:01:00,133.03209,32.949463
0,2025-12-29 13:11:00,133.03195,32.94925
0,2025-12-29 13:21:00,133.0318,32.949028
0,2025-12-29 13:31:00,133.03166,32.948807
0,2025-12-29 13:41:00,133.03151,32.94858
0,2025-12-29 13:51:00,133.03137,32.948353
0,2025-12-29 14:01:00,133.03122,32.948124
0,2025-12-29 14:11:00,133.03107,32.947887
0,2025-12-29 14:21:00,133.03093,32.94765
0,2025-12-29 14:31:00,133.03078,32.94741
0,2025-12-29 14:41:00,133.03064,32.947166
0,2025-12-29 14:51:00,133.03049,32.946922
0,2025-12-29 15:01:00,133.03035,32.946674
0,2025-12-29 15:11:00,133.03021,32.946423
0,2025-12-29 15:21:00,133.03008,32.94617
0,2025-12-29 15:31:00,133.02994,32.94592
0,2025-12-29 15:41:00,133.02982,32.945663
0,2025-12-29 15:51:00,133.0297,32.94541
0,2025-12-29 16:01:00,133.02959,32.945156
